,MATCH,WITH,DELETE,CREATE,RETURN,ORDER BY,SKIP,LIMIT,SET,REMOVE,MERGE,AS,WHERE,DETACH
MATCH,0,1,1,0,1,0,0,0,0,1,0,0,0,0
WITH,0,0,0,0,0,1,0,0,0,0,0,1,1,0
DELETE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CREATE,0,0,0,0,1,0,0,0,0,0,0,0,0,0
RETURN,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ORDER BY,0,0,0,0,1,0,1,1,0,0,0,0,0,0
SKIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIMIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SET,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REMOVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MERGE,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHERE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DETACH,0,0,1,0,0,0,0,0,0,0,0,0,0,0
